role_id,esco_occ_label,esco_occ_uri,confidence,match_type,reason
CR01,software developer,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,0.97,exactMatch,Direct software-engineering equivalent with strong title and skill overlap.
CR01,software architect,http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,0.78,closeMatch,"Adjacency through architecture, design, and system-level responsibilities."
CR02,software developer,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,0.88,closeMatch,Strong backend overlap through service and API development.
CR02,ICT system developer,http://data.europa.eu/esco/occupation/a7c1d23d-aeca-4bee-9a08-5993ed98b135,0.83,closeMatch,Server-side systems and implementation overlap.
CR02,software architect,http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,0.72,broadMatch,Architecture is adjacent but not primary.
CR03,user interface developer,http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c,0.96,exactMatch,Direct frontend/UI equivalent.
CR03,web developer,http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,0.9,closeMatch,Strong overlap with browser-based UI engineering.
CR03,ICT application developer,http://data.europa.eu/esco/occupation/bd272aee-adc9-4a06-a15c-a73b4b4a46a7,0.74,broadMatch,"Application development overlap, but less UI-specific."
CR04,software developer,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,0.93,exactMatch,Full-stack work still centers on core software development.
CR04,web developer,http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,0.91,closeMatch,Strong overlap for full-stack web applications.
CR04,ICT application developer,http://data.europa.eu/esco/occupation/bd272aee-adc9-4a06-a15c-a73b4b4a46a7,0.79,closeMatch,Broad application development overlap.
CR05,ICT system developer,http://data.europa.eu/esco/occupation/a7c1d23d-aeca-4bee-9a08-5993ed98b135,0.89,closeMatch,Platform engineering maps closely to internal systems and tooling.
