child_category_uri,parent_category_uri
http://data.europa.eu/esco/isced-f/0613,http://data.europa.eu/esco/isced-f/061
http://data.europa.eu/esco/isced-f/0612,http://data.europa.eu/esco/isced-f/061
http://data.europa.eu/esco/isced-f/0714,http://data.europa.eu/esco/isced-f/071
http://data.europa.eu/esco/isced-f/0417,http://data.europa.eu/esco/isced-f/041
http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,http://data.europa.eu/esco/skill/4d7fb3eb-554a-4cf1-a576-bf6e153bdba2
http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,http://data.europa.eu/esco/skill/0a295163-3e17-47ad-99ac-2b507ce30adb
http://data.europa.eu/esco/skill/883eab8c-d8a6-4e8b-9b11-7d9001e172ab,http://data.europa.eu/esco/skill/0a295163-3e17-47ad-99ac-2b507ce30adb
http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,http://data.europa.eu/esco/skill/5770f630-9b25-49f3-9d37-e93ec1799749
http://data.europa.eu/esco/skill/29dcc31e-a8d6-4a62-b3c1-2de81e966e39,http://data.europa.eu/esco/skill/587e1cd6-a376-4c8f-8369-187c128d72a3
http://data.europa.eu/esco/skill/b917784a-d7c9-437c-be6e-0de41067fa62,http://data.europa.eu/esco/skill/e173eaf8-c99b-405a-b0ac-0e02ce3c268d
http://data.europa.eu/esco/skill/d46193e0-be7d-4a90-91cc-4caba78e19d0,http://data.europa.eu/esco/skill/6889a21c-837b-49a2-be61-bb6010ab63f4
http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,http://data.europa.eu/esco/skill/75c1ab73-5b00-48a0-818e-93487ebdd7e1
http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,http://data.europa.eu/esco/skill/75c1ab73-5b00-48a0-818e-93487ebdd7e1
http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,http://data.europa.eu/esco/skill/6f89dcbe-4315-4533-8801-3aadf9190b86
http://data.europa.eu/esco/isced-f/0413,http://data.europa.eu/esco/isced-f/041
http://data.europa.eu/esco/isced-f/0611,http://data.europa.eu/esco/isced-f/061
http://data.europa.eu/esco/isced-f/0921,http://data.europa.eu/esco/isced-f/092
http://data.europa.eu/esco/skill/c206d301-14b0-4bea-8028-a3749303a512,http://data.europa.eu/esco/skill/7a00c77c-4a1c-4fd6-a83f-004bda65d81a
http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,http://data.europa.eu/esco/skill/2f661409-3e56-46ab-95d7-6ec7786fc1c0
http://data.europa.eu/esco/skill/a19c5139-1250-4a60-9c31-a3243cca06cc,http://data.europa.eu/esco/skill/b76cd1e5-d5e7-464a-b7bb-4164d3616452
http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb,http://data.europa.eu/esco/skill/75c1ab73-5b00-48a0-818e-93487ebdd7e1
http://data.europa.eu/esco/skill/a7065828-10aa-4aba-b7d4-f23a30df5060,http://data.europa.eu/esco/skill/7b942071-f688-4600-8d9f-ad4c0306abc7
http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,http://data.europa.eu/esco/skill/3753e796-121e-46a3-9c27-dee31ce92c80
http://data.europa.eu/esco/skill/8f9f8b20-ff26-4392-b04f-695dcde5b90a,http://data.europa.eu/esco/skill/3f641516-9846-4a7f-a7f4-e1274eef6688
http://data.europa.eu/esco/skill/cdb2aecd-9dca-48fd-8d56-f0aace3ab5a9,http://data.europa.eu/esco/skill/3f641516-9846-4a7f-a7f4-e1274eef6688
http://data.europa.eu/esco/skill/8a3b45dc-8299-4b67-99db-6542daf79ac3,http://data.europa.eu/esco/skill/b76cd1e5-d5e7-464a-b7bb-4164d3616452
http://data.europa.eu/esco/isced-f/1031,http://data.europa.eu/esco/isced-f/103
,http://data.europa.eu/esco/isced-f/071
http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,http://data.europa.eu/esco/skill/28d2ab6c-38a2-476e-85fe-7982fd242943
http://data.europa.eu/esco/skill/802deca0-b880-4d1a-b366-e13b27621baf,http://data.europa.eu/esco/skill/048812ba-45ff-4801-b04f-b20c03432809
http://data.europa.eu/esco/skill/316df5b7-31c4-4f4e-ae69-aad1b873b995,http://data.europa.eu/esco/skill/c5b71c57-6f78-4c54-b332-ec75848f1095
http://data.europa.eu/esco/skill/e67fd42d-25f1-4124-b0be-3b1e3bfdd70c,http://data.europa.eu/esco/skill/048812ba-45ff-4801-b04f-b20c03432809
http://data.europa.eu/esco/skill/1034004c-0347-4765-8794-b65d2c92b379,http://data.europa.eu/esco/skill/325a3d29-a235-4182-9128-782c0f4b2dcc
http://data.europa.eu/esco/isced-f/0421,http://data.europa.eu/esco/isced-f/042
http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,http://data.europa.eu/esco/skill/dddd229b-61e1-480d-80d6-d9d9ee9b5f54
http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,http://data.europa.eu/esco/skill/048812ba-45ff-4801-b04f-b20c03432809
http://data.europa.eu/esco/skill/aca5081a-ceb0-4028-9cc5-1daafd4f86f9,http://data.europa.eu/esco/skill/be7443ff-0747-43b8-8720-8e87fd34e692
http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,http://data.europa.eu/esco/skill/d6e4373a-ef2c-4b64-9dc6-4140846f6609
