soc_code,onet_occ_title,esco_occ_uri,esco_occ_title,match_type
11-3021.00,Computer and Information Systems Managers,http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f,chief technology officer,closeMatch
11-3021.00,Computer and Information Systems Managers,http://data.europa.eu/esco/occupation/82f90e87-de92-4678-adae-61d3e5f7e1e4,chief information officer,closeMatch
11-3021.00,Computer and Information Systems Managers,http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f,ICT security manager,broadMatch
11-3021.00,Computer and Information Systems Managers,http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc,ICT operations manager,closeMatch
11-3021.00,Computer and Information Systems Managers,http://data.europa.eu/esco/occupation/591c5063-69ce-4551-ba60-e2304111130f,aviation data communications manager,broadMatch
15-1211.00,Computer Systems Analysts,http://data.europa.eu/esco/occupation/a6a0b60f-08da-4faa-bf54-942987efb471,ICT system analyst,exactMatch
15-1211.00,Computer Systems Analysts,http://data.europa.eu/esco/occupation/e1c72b5f-4c5c-487c-a6df-e84b64a51dae,ICT system architect,closeMatch
15-1211.00,Computer Systems Analysts,http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,closeMatch
15-1211.00,Computer Systems Analysts,http://data.europa.eu/esco/occupation/10469d70-78a3-4650-9e29-d04de13c62c1,embedded system designer,closeMatch
15-1211.00,Computer Systems Analysts,http://data.europa.eu/esco/occupation/bd9d395a-d587-45c6-8d72-ceef226df9e1,ICT system integration consultant,broadMatch
15-1212.00,Information Security Analysts,http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4,ICT security engineer,exactMatch
15-1212.00,Information Security Analysts,http://data.europa.eu/esco/occupation/a99b38bc-6e71-4bef-b127-0f2b5e357815,ICT resilience manager,narrowMatch
15-1212.00,Information Security Analysts,http://data.europa.eu/esco/occupation/1c5a896a-e010-4217-a29a-c44db26e25da,embedded systems security engineer,broadMatch
15-1212.00,Information Security Analysts,http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,closeMatch
15-1212.00,Information Security Analysts,http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f,ICT security manager,closeMatch
15-1221.00,Computer and Information Research Scientists,http://data.europa.eu/esco/occupation/e3229e40-f571-4b26-baca-29edc8fe313e,computer scientist,exactMatch
